name,epic,yahoo_ticker,sector,is_fund
North Atlantic Smaller Companies Investment Trust,NAS,NAS.L,Investment Trusts,True
Oakley Capital Investments,OCI,OCI.L,Investment Trusts,True
Ocado Group,OCDO,OCDO.L,Food & drug retailers,False
OSB Group,OSB,OSB.L,Banks,False
Oxford Biomedica,OXB,OXB.L,Pharmaceuticals and Biotechnology,False
Oxford Instruments,OXIG,OXIG.L,Electronic & Electrical Equipment,False
Oxford Nanopore Technologies,ONT,ONT.L,Health Care,False
Pacific Horizon Investment Trust,PHI,PHI.L,Investment Trusts,True
PageGroup,PAGE,PAGE.L,Support Services,False
Pan African Resources,PAF,PAF.L,Precious Metals and Mining,False
Pantheon Infrastructure,PINT,PINT.L,Investment Trusts,True
Pantheon International,PIN,PIN.L,Equity Investments,True
Paragon Banking Group,PAG,PAG.L,Financial Services,False
Partners Group Private Equity,PEY,PEY.L,Investment Trusts,True
Patria Private Equity Trust,PPET,PPET.L,Financial Services,True
Pennon Group,PNN,PNN.L,"Gas, Water & Multiutilities",False
Personal Assets Trust,PNL,PNL.L,Investment Trusts,True
Pets at Home,PETS,PETS.L,Retailers,False
Playtech,PTEC,PTEC.L,Software & Computer Services,False
Plus500,PLUS,PLUS.L,Financial Services,False
Polar Capital Global Healthcare Trust,PCGH,PCGH.L,Investment Trusts,True
Pollen Street Group,POLN,POLN.L,Financial Services,False
PPHE Hotel Group,PPH,PPH.L,Travel and Leisure,False
Premier Foods,PFD,PFD.L,Food & Drug Retailers,False
Primary Health Properties,PHP,PHP.L,Real Estate Investment Trusts,True
Princes Group,PRN,PRN.L,Food and drink,False
Qinetiq,QQ,QQ.L,Aerospace & Defence,False
Quilter,QLT,QLT.L,Financial Services,False
Rank Group,RNK,RNK.L,Travel and Leisure,False
Raspberry Pi Holdings,RPI,RPI.L,Technology,False
Rathbones,RAT,RAT.L,Financial Services,False
Renishaw,RSW,RSW.L,Electronic & Electrical Equipment,False
RHI Magnesita,RHIM,RHIM.L,Support Services,False
RIT Capital Partners,RCP,RCP.L,Investment Trusts,True
Rotork,ROR,ROR.L,Industrial Engineering,False
RS Group,RS1,RS1.L,Industrials,False
RTW Biotech Opportunities,RTW,RTW.L,Investment Trusts,True
Ruffer Investment Company,RICA,RICA.L,Investment Trusts,True
Safestore,SAFE,SAFE.L,Real Estate Investment Trusts,True
Saga,SAGA,SAGA.L,Travel and Leisure,False
Savills,SVS,SVS.L,Real Estate Investment & Services,False
Schiehallion Fund,MNTN,MNTN.L,Investment Trusts,True
Schroder Asian Total Return Investment Company,ATR,ATR.L,Investment Trusts,True
Schroder AsiaPacific Fund,SDP,SDP.L,Investment Trusts,True
Schroder Oriental Income Fund,SOI,SOI.L,Financial Services,True
Scottish American Investment Company,SAIN,SAIN.L,Investment Trusts,True
SDCL Energy Efficiency Income Trust,SEIT,SEIT.L,Energy,True
Senior,SNR,SNR.L,Aerospace & Defence,False
Sequoia Economic Infrastructure Income Fund,SEQI,SEQI.L,Financial Services,True
Serco,SRP,SRP.L,Support Services,False
Shaftesbury Capital,SHC,SHC.L,Real Estate Investment Trusts,True
Shawbrook Bank,SHAW,SHAW.L,Banking,False
Sirius Real Estate,SRE,SRE.L,Real Estate,False
Softcat,SCT,SCT.L,Software & Computer Services,False
Spire Healthcare,SPI,SPI.L,Health Care Equipment & Services,False
SSP Group,SSPG,SSPG.L,Retailers,False
Supermarket Income REIT,SUPR,SUPR.L,Real Estate Investment Trusts,True
Syncona,SYNC,SYNC.L,Pharmaceuticals & Biotechnology,False
Target Healthcare REIT,THRL,THRL.L,Real Estate Investment Trusts,True
Tate & Lyle,TATE,TATE.L,Food Producers,False
Taylor Wimpey,TW,TW.L,Household goods & home construction,False
TBC Bank,TBCG,TBCG.L,Banks,False
Telecom Plus,TEP,TEP.L,Telecomms,False
Temple Bar Investment Trust,TMPL,TMPL.L,Collective Investments,True
Templeton Emerging Markets Investment Trust,TEM,TEM.L,Investment Trusts,True
The Renewables Infrastructure Group,TRIG,TRIG.L,Investment Trusts,True
THG,THG,THG.L,Personal Products,False
TP ICAP,TCAP,TCAP.L,Support Services,False
Trainline,TRN,TRN.L,Industrial Transportation,False
Travis Perkins,TPK,TPK.L,Support Services,False
TR Property Investment Trust,TRY,TRY.L,Investment Trusts,True
Trustpilot,TRST,TRST.L,Technology,True
Twentyfour Income Fund,TFIF,TFIF.L,Investment Trusts,True
Unite Group,UTG,UTG.L,Real estate investment trusts,True
Utilico Emerging Markets,UEM,UEM.L,Investment Trusts,True
Vesuvius,VSVS,VSVS.L,General Industrials,False
Victrex,VCT,VCT.L,Chemicals,False
Vietnam Enterprise Investments,VEIL,VEIL.L,General Financial,True
VinaCapital Vietnam Opportunity Fund,VOF,VOF.L,General Financial,True
Vistry Group,VTY,VTY.L,Home Construction,False
Volution Group,FAN,FAN.L,Construction & Materials,False
Watches of Switzerland,WOSG,WOSG.L,Personal Goods,False
Wetherspoons,JDW,JDW.L,Travel & Leisure,False
WHSmith,SMWH,SMWH.L,Retailers,False
Wickes,WIX,WIX.L,Retailers,False
Wizz Air,WIZZ,WIZZ.L,Travel & Leisure,False
Workspace Group,WKP,WKP.L,Real Estate Investment Trusts,True
Worldwide Healthcare Trust,WWH,WWH.L,Investment Trusts,True
WPP,WPP,WPP.L,Media,False
XPS Pensions,XPS,XPS.L,Financial Services,False
Zigup,ZIG,ZIG.L,Support Services,False
