name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
Grainger,GRI,GRI.L,Real Estate Investment & Services,2022,GBP,277500000.0,153400000.0,113000000.0,229400000.0,0.5528,0.4072,0.8267,2026-08-10
Grainger,GRI,GRI.L,Real Estate Investment & Services,2023,GBP,265300000.0,154500000.0,121600000.0,25600000.0,0.5824,0.4583,0.0965,2026-08-10
Grainger,GRI,GRI.L,Real Estate Investment & Services,2024,GBP,284600000.0,162100000.0,126300000.0,31200000.0,0.5696,0.4438,0.1096,2026-08-10
Grainger,GRI,GRI.L,Real Estate Investment & Services,2025,GBP,258900000.0,164800000.0,127900000.0,202600000.0,0.6365,0.494,0.7825,2026-08-10
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",2022,GBP,966293000.0,,,953863000.0,,,0.9871,2026-08-10
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",2023,GBP,142750000.0,,,126188000.0,,,0.884,2026-08-10
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",2024,GBP,-33635000.0,,,-55415000.0,,,1.6475,2026-08-10
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",2025,GBP,-184341000.0,,,-192617000.0,,,1.0449,2026-08-10
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",2022,GBP,1739600000.0,523000000.0,70600000.0,32300000.0,0.3006,0.0406,0.0186,2026-08-10
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",2023,GBP,1913700000.0,568800000.0,76700000.0,35900000.0,0.2972,0.0401,0.0188,2026-08-10
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",2024,GBP,1807100000.0,599600000.0,99300000.0,46300000.0,0.3318,0.0549,0.0256,2026-08-10
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",2025,GBP,1947000000.0,632500000.0,130400000.0,57600000.0,0.3249,0.067,0.0296,2026-08-10
Greggs,GRG,GRG.L,Food & Drug Retailers,2022,GBP,1512800000.0,938300000.0,154400000.0,120300000.0,0.6202,0.1021,0.0795,2026-08-10
Greggs,GRG,GRG.L,Food & Drug Retailers,2023,GBP,1809600000.0,1099100000.0,171700000.0,142500000.0,0.6074,0.0949,0.0787,2026-08-10
Greggs,GRG,GRG.L,Food & Drug Retailers,2024,GBP,2014400000.0,1243600000.0,195300000.0,153400000.0,0.6174,0.097,0.0762,2026-08-10
Greggs,GRG,GRG.L,Food & Drug Retailers,2025,GBP,2151200000.0,1322100000.0,187500000.0,122200000.0,0.6146,0.0872,0.0568,2026-08-10
Harbour Energy,HBR,HBR.L,Oil & Gas Producers,2022,USD,5390000000.0,2545000000.0,2423000000.0,8000000.0,0.4722,0.4495,0.0015,2026-08-10
