name,epic,yahoo_ticker,sector,fiscal_year,currency,revenue,gross_profit,operating_income,net_income,gross_margin,operating_margin,net_margin,retrieved_at
EasyJet,EZJ,EZJ.L,Travel and Leisure,2025,GBP,10106000000.0,1695000000.0,703000000.0,494000000.0,0.1677,0.0696,0.0489,2026-08-04
Elementis,ELM,ELM.L,Chemicals,2025,USD,597500000.0,280100000.0,109000000.0,-45500000.0,0.4688,0.1824,-0.0762,2026-08-04
Energean,ENOG,ENOG.L,Oil & Gas Producers,2024,USD,1779413000.0,791128000.0,695888000.0,127447000.0,0.4446,0.3911,0.0716,2026-08-04
Eurowag,EWG,EWG.L,Financial Services,2025,EUR,2308340000.0,330102000.0,79979000.0,2051000.0,0.143,0.0346,0.0009,2026-08-04
FirstGroup,FGP,FGP.L,Travel & Leisure,2026,GBP,4332700000.0,1483100000.0,209200000.0,118300000.0,0.3423,0.0483,0.0273,2026-08-04
Foresight Group,FSG,FSG.L,Investment Banking and Brokerage Services,2026,GBP,164919000.0,154689000.0,57102000.0,42831000.0,0.938,0.3462,0.2597,2026-08-04
Frasers Group,FRAS,FRAS.L,Retailers,2025,GBP,4925600000.0,2306400000.0,533700000.0,292100000.0,0.4682,0.1084,0.0593,2026-08-04
Funding Circle,FCH,FCH.L,Financial Services,2025,GBP,222500000.0,162400000.0,20400000.0,46000000.0,0.7299,0.0917,0.2067,2026-08-04
GB Group,GBG,GBG.L,Software and Computer Services,2026,GBP,285044000.0,198192000.0,-68070000.0,-75087000.0,0.6953,-0.2388,-0.2634,2026-08-04
Galliford Try,GFRD,GFRD.L,Construction,2025,GBP,1875200000.0,151500000.0,39700000.0,33600000.0,0.0808,0.0212,0.0179,2026-08-04
Gamma Communications,GAMA,GAMA.L,Telecommunications,2025,GBP,645800000.0,348200000.0,101500000.0,64900000.0,0.5392,0.1572,0.1005,2026-08-04
Genuit Group,GEN,GEN.L,Construction & Materials,2025,GBP,602100000.0,265100000.0,79400000.0,45200000.0,0.4403,0.1319,0.0751,2026-08-04
Genus,GNS,GNS.L,Pharmaceuticals & Biotechnology,2025,GBP,672800000.0,,42400000.0,19300000.0,,0.063,0.0287,2026-08-04
Goodwin,GDWN,GDWN.L,General Industrials,2025,GBP,219709000.0,91609000.0,37112000.0,24569000.0,0.417,0.1689,0.1118,2026-08-04
Grafton Group,GFTU,GFTU.L,Support Services,2025,GBP,2519603000.0,955435000.0,162401000.0,136568000.0,0.3792,0.0645,0.0542,2026-08-04
Grainger,GRI,GRI.L,Real Estate Investment & Services,2025,GBP,258900000.0,164800000.0,127900000.0,202600000.0,0.6365,0.494,0.7825,2026-08-04
Greencoat UK Wind,UKW,UKW.L,"Gas, Water & Multiutilities",2025,GBP,-184341000.0,,,-192617000.0,,,1.0449,2026-08-04
Greencore,GNC,GNC.L,"Food, Beverage and Tobacco",2025,GBP,1947000000.0,632500000.0,130400000.0,57600000.0,0.3249,0.067,0.0296,2026-08-04
Greggs,GRG,GRG.L,Food & Drug Retailers,2025,GBP,2151200000.0,1322100000.0,187500000.0,122200000.0,0.6146,0.0872,0.0568,2026-08-04
